click_time,ip,app,channel,device,os,fraud
43046.07,16947,2,236,1,46,TRUE
43046.07,113948,2,477,1,13,TRUE
43046.07,58905,3,452,1,18,TRUE
43046.07,46755,3,280,2,13,TRUE
43046.07,4889,9,215,1,35,TRUE
43046.07,123832,2,435,1,13,TRUE
43046.07,145192,15,130,1,13,TRUE
43046.07,2941,15,245,1,19,TRUE
43046.07,94124,3,173,1,13,TRUE
43046.07,145205,2,435,1,22,TRUE
43046.07,115715,15,140,1,13,TRUE
43046.07,18906,8,145,1,19,TRUE
43046.07,34215,26,121,1,13,TRUE
43046.07,149309,1,150,1,13,TRUE
43046.07,44536,3,280,1,19,TRUE
43046.07,68804,2,236,1,19,TRUE
43046.07,26674,9,466,1,19,TRUE
43046.07,148234,3,280,1,17,TRUE
43046.07,113796,2,243,1,19,TRUE
43046.07,113509,12,245,1,19,TRUE
43046.07,94521,12,328,1,13,TRUE
43046.07,149631,3,280,1,17,TRUE
43046.07,110652,12,178,1,13,TRUE
43046.07,32599,11,481,1,13,TRUE
43046.07,176221,11,319,1,17,TRUE
43046.07,73516,14,401,1,6,TRUE
43046.07,75516,12,178,1,19,TRUE
43046.07,23699,8,259,1,13,TRUE
43046.07,20770,3,173,1,19,TRUE
43046.07,44144,27,153,1,13,TRUE
43046.07,192756,2,237,1,17,TRUE
43046.07,9584,12,259,1,16,TRUE
43046.07,50451,18,439,1,19,TRUE
43046.07,9795,22,496,1,1,TRUE
43046.07,85858,3,280,1,18,TRUE
43046.07,115715,8,145,1,13,TRUE
43046.07,67779,3,137,1,17,TRUE
43046.07,195652,15,140,1,12,TRUE
43046.07,195652,12,140,1,12,TRUE
43046.07,35129,3,115,1,13,TRUE
43046.07,31498,3,480,1,22,TRUE
43046.07,156307,3,280,1,18,TRUE
43046.07,22421,15,130,1,19,TRUE
43046.07,128120,22,496,1,3,TRUE
43046.07,12031,3,19,1,17,TRUE
43046.07,7304,9,258,1,19,TRUE
43046.07,113509,15,245,1,19,TRUE
43046.07,28382,3,280,1,8,TRUE
43046.07,3239,3,280,1,10,TRUE
43046.07,180392,3,489,1,1,TRUE
43046.07,178851,2,205,1,18,TRUE
43046.07,109616,2,452,1,41,TRUE
43046.07,76736,3,489,1,13,TRUE
43046.07,12529,2,237,1,18,TRUE
43046.07,118442,9,215,1,28,TRUE
43046.07,114490,2,205,1,19,TRUE
43046.07,63932,3,280,1,19,TRUE
43046.07,42481,18,376,1,19,TRUE
43046.07,176777,3,371,1,30,TRUE
43046.07,13870,1,452,1,19,TRUE
43046.07,67409,14,134,1,19,TRUE
43046.07,6380,2,236,1,19,TRUE
43046.07,106655,21,128,1,13,TRUE
43046.07,74469,3,489,1,19,TRUE
43046.07,186951,18,107,1,10,TRUE
43046.07,11161,27,122,1,13,TRUE
43046.07,110426,15,430,1,13,TRUE
43046.07,6551,3,280,1,10,TRUE
43046.07,202230,18,107,1,16,TRUE
43046.07,37462,15,245,2,32,TRUE
43046.07,7304,12,140,1,19,TRUE
43046.07,121163,3,280,1,22,TRUE
43046.07,83461,2,469,1,36,TRUE
43046.07,105569,2,237,1,1,TRUE
43046.07,160338,1,125,1,37,TRUE
43046.07,160338,24,178,1,37,TRUE
43046.07,123994,14,360,1,3,TRUE
43046.07,66170,18,420,3032,607,TRUE
43046.07,103385,3,137,1,42,TRUE
43046.07,119284,18,134,1,13,TRUE
43046.07,15962,3,379,1,13,TRUE
43046.07,22620,2,236,1,13,TRUE
43046.07,44067,14,463,1,30,TRUE
43046.07,31482,1,125,1,19,TRUE
43046.07,31482,24,178,1,19,TRUE
43046.07,45529,12,259,1,47,TRUE
43046.07,96165,9,215,1,20,TRUE
43046.07,91633,18,107,1,19,TRUE
43046.07,47382,9,442,1,37,TRUE
43046.07,153056,12,259,1,23,TRUE
43046.07,198160,23,153,1,3,TRUE
43046.07,125241,23,153,1,19,TRUE
43046.07,191369,12,265,1,31,TRUE
43046.07,135992,15,430,1,18,TRUE
43046.07,166403,2,435,1,19,TRUE
43046.07,203736,3,280,1,13,TRUE
43046.07,51043,2,236,1,18,TRUE
43046.07,49775,18,107,1,23,TRUE
43046.07,40407,3,280,1,6,TRUE
43046.07,160338,9,442,1,37,TRUE
43046.07,80736,2,236,1,6,TRUE
43046.07,126540,3,466,1,19,TRUE
43046.07,29290,9,466,1,6,TRUE
43046.07,175155,2,435,1,17,TRUE
43046.07,177060,15,379,1,9,TRUE
43046.07,74889,21,128,1,19,TRUE
